identificador_cliente,sector_economico,fecha_afiliacion
3676,Ganadería/Agro,2020-04-21
3677,Ganadería/Agro,2020-04-21
3678,Minería/Servicios,2020-04-21
3679,Comercio Minorista,2020-04-21
3680,Comercio Minorista,2020-04-21
3681,Ganadería/Agro,2020-04-21
3682,Comercio Minorista,2020-04-21
3683,Independientes,2020-04-21
3684,Ganadería/Agro,2020-04-21
3685,Minería/Servicios,2020-04-21
3686,Ganadería/Agro,2020-04-21
3687,Comercio Minorista,2020-04-21
3688,Minería/Servicios,2020-04-21
3689,Ganadería/Agro,2020-04-22
3690,Independientes,2020-04-22
3691,Independientes,2020-04-22
3692,Ganadería/Agro,2020-04-22
3693,Independientes,2020-04-22
3694,Independientes,2020-04-22
3695,Independientes,2020-04-22
3696,Minería/Servicios,2020-04-22
3697,Independientes,2020-04-22
3698,Independientes,2020-04-22
3699,Independientes,2020-04-22
3700,Minería/Servicios,2020-04-22
3701,Ganadería/Agro,2020-04-22
3702,Comercio Minorista,2020-04-22
3703,Independientes,2020-04-22
3704,Ganadería/Agro,2020-04-22
3705,Independientes,2020-04-22
3706,Minería/Servicios,2020-04-22
3707,Ganadería/Agro,2020-04-22
3708,Minería/Servicios,2020-04-22
3709,Independientes,2020-04-22
3710,Independientes,2020-04-22
3711,Minería/Servicios,2020-04-22
3712,Comercio Minorista,2020-04-22
3713,Minería/Servicios,2020-04-23
3714,Independientes,2020-04-23
3715,Minería/Servicios,2020-04-23
3716,Comercio Minorista,2020-04-23
3717,Minería/Servicios,2020-04-23
3718,Comercio Minorista,2020-04-23
3719,Comercio Minorista,2020-04-23
3720,Minería/Servicios,2020-04-23
3721,Minería/Servicios,2020-04-23
3722,Ganadería/Agro,2020-04-23
3723,Independientes,2020-04-23
3724,Comercio Minorista,2020-04-23
3725,Ganadería/Agro,2020-04-23
3726,Minería/Servicios,2020-04-23
3727,Independientes,2020-04-23
3728,Ganadería/Agro,2020-04-23
3729,Comercio Minorista,2020-04-23
3730,Ganadería/Agro,2020-04-23
3731,Comercio Minorista,2020-04-23
3732,Minería/Servicios,2020-04-23
3733,Independientes,2020-04-23
3734,Independientes,2020-04-23
3735,Independientes,2020-04-23
3736,Minería/Servicios,2020-04-23
3737,Comercio Minorista,2020-04-24
3738,Minería/Servicios,2020-04-24
3739,Independientes,2020-04-24
3740,Minería/Servicios,2020-04-24
3741,Minería/Servicios,2020-04-24
3742,Minería/Servicios,2020-04-24
3743,Comercio Minorista,2020-04-24
3744,Ganadería/Agro,2020-04-24
3745,Ganadería/Agro,2020-04-24
3746,Minería/Servicios,2020-04-24
3747,Ganadería/Agro,2020-04-24
3748,Ganadería/Agro,2020-04-24
3749,Minería/Servicios,2020-04-24
3750,Minería/Servicios,2020-04-24
3751,Independientes,2020-04-24
3752,Ganadería/Agro,2020-04-24
3753,Comercio Minorista,2020-04-24
3754,Minería/Servicios,2020-04-24
3755,Independientes,2020-04-24
3756,Comercio Minorista,2020-04-24
3757,Ganadería/Agro,2020-04-24
3758,Independientes,2020-04-24
3759,Minería/Servicios,2020-04-24
3760,Comercio Minorista,2020-04-24
3761,Minería/Servicios,2020-04-25
3762,Ganadería/Agro,2020-04-25
3763,Comercio Minorista,2020-04-25
3764,Ganadería/Agro,2020-04-25
3765,Ganadería/Agro,2020-04-25
3766,Independientes,2020-04-25
3767,Minería/Servicios,2020-04-25
3768,Comercio Minorista,2020-04-25
3769,Ganadería/Agro,2020-04-25
3770,Ganadería/Agro,2020-04-25
3771,Comercio Minorista,2020-04-25
3772,Ganadería/Agro,2020-04-25
3773,Independientes,2020-04-25
3774,Independientes,2020-04-25
3775,Independientes,2020-04-25
3776,Independientes,2020-04-25
3777,Ganadería/Agro,2020-04-25
3778,Comercio Minorista,2020-04-25
3779,Comercio Minorista,2020-04-25
3780,Comercio Minorista,2020-04-25
3781,Comercio Minorista,2020-04-25
3782,Minería/Servicios,2020-04-25
3783,Comercio Minorista,2020-04-25
3784,Minería/Servicios,2020-04-25
3785,Minería/Servicios,2020-04-26
3786,Independientes,2020-04-26
3787,Minería/Servicios,2020-04-26
3788,Ganadería/Agro,2020-04-26
3789,Minería/Servicios,2020-04-26
3790,Independientes,2020-04-26
3791,Minería/Servicios,2020-04-26
3792,Ganadería/Agro,2020-04-26
3793,Ganadería/Agro,2020-04-26
3794,Ganadería/Agro,2020-04-26
3795,Independientes,2020-04-26
3796,Independientes,2020-04-26
3797,Comercio Minorista,2020-04-26
3798,Independientes,2020-04-26
3799,Ganadería/Agro,2020-04-26
3800,Ganadería/Agro,2020-04-26
3801,Independientes,2020-04-26
3802,Minería/Servicios,2020-04-26
3803,Independientes,2020-04-26
3804,Independientes,2020-04-26
3805,Ganadería/Agro,2020-04-26
3806,Comercio Minorista,2020-04-26
3807,Ganadería/Agro,2020-04-26
3808,Comercio Minorista,2020-04-26
3809,Ganadería/Agro,2020-04-27
3810,Independientes,2020-04-27
3811,Ganadería/Agro,2020-04-27
3812,Ganadería/Agro,2020-04-27
3813,Ganadería/Agro,2020-04-27
3814,Independientes,2020-04-27
3815,Independientes,2020-04-27
3816,Independientes,2020-04-27
3817,Independientes,2020-04-27
3818,Comercio Minorista,2020-04-27
3819,Comercio Minorista,2020-04-27
3820,Minería/Servicios,2020-04-27
3821,Independientes,2020-04-27
3822,Comercio Minorista,2020-04-27
3823,Ganadería/Agro,2020-04-27
3824,Independientes,2020-04-27
3825,Minería/Servicios,2020-04-27
3826,Minería/Servicios,2020-04-27
3827,Minería/Servicios,2020-04-27
3828,Ganadería/Agro,2020-04-27
3829,Comercio Minorista,2020-04-27
3830,Ganadería/Agro,2020-04-27
3831,Independientes,2020-04-27
3832,Minería/Servicios,2020-04-27
3833,Ganadería/Agro,2020-04-28
3834,Ganadería/Agro,2020-04-28
3835,Comercio Minorista,2020-04-28
3836,Comercio Minorista,2020-04-28
3837,Minería/Servicios,2020-04-28
3838,Ganadería/Agro,2020-04-28
3839,Ganadería/Agro,2020-04-28
3840,Comercio Minorista,2020-04-28
3841,Ganadería/Agro,2020-04-28
3842,Ganadería/Agro,2020-04-28
3843,Ganadería/Agro,2020-04-28
3844,Comercio Minorista,2020-04-28
3845,Minería/Servicios,2020-04-28
3846,Independientes,2020-04-28
3847,Minería/Servicios,2020-04-28
3848,Independientes,2020-04-28
3849,Ganadería/Agro,2020-04-28
3850,Minería/Servicios,2020-04-28
3851,Independientes,2020-04-28
3852,Comercio Minorista,2020-04-28
3853,Comercio Minorista,2020-04-28
3854,Minería/Servicios,2020-04-28
3855,Minería/Servicios,2020-04-28
3856,Ganadería/Agro,2020-04-28
3857,Minería/Servicios,2020-04-29
3858,Ganadería/Agro,2020-04-29
3859,Ganadería/Agro,2020-04-29
3860,Comercio Minorista,2020-04-29
3861,Comercio Minorista,2020-04-29
3862,Independientes,2020-04-29
3863,Comercio Minorista,2020-04-29
3864,Comercio Minorista,2020-04-29
3865,Minería/Servicios,2020-04-29
3866,Comercio Minorista,2020-04-29
3867,Independientes,2020-04-29
3868,Minería/Servicios,2020-04-29
3869,Independientes,2020-04-29
3870,Comercio Minorista,2020-04-29
3871,Independientes,2020-04-29
3872,Minería/Servicios,2020-04-29
3873,Ganadería/Agro,2020-04-29
3874,Independientes,2020-04-29
3875,Independientes,2020-04-29
3876,Minería/Servicios,2020-04-29
3877,Minería/Servicios,2020-04-29
3878,Independientes,2020-04-29
3879,Comercio Minorista,2020-04-29
3880,Independientes,2020-04-29
3881,Minería/Servicios,2020-04-30
3882,Ganadería/Agro,2020-04-30
3883,Ganadería/Agro,2020-04-30
3884,Comercio Minorista,2020-04-30
3885,Independientes,2020-04-30
3886,Ganadería/Agro,2020-04-30
3887,Independientes,2020-04-30
3888,Minería/Servicios,2020-04-30
3889,Ganadería/Agro,2020-04-30
3890,Comercio Minorista,2020-04-30
3891,Minería/Servicios,2020-04-30
3892,Comercio Minorista,2020-04-30
3893,Minería/Servicios,2020-04-30
3894,Ganadería/Agro,2020-04-30
3895,Comercio Minorista,2020-04-30
3896,Comercio Minorista,2020-04-30
3897,Minería/Servicios,2020-04-30
3898,Comercio Minorista,2020-04-30
3899,Minería/Servicios,2020-04-30
3900,Minería/Servicios,2020-04-30
3901,Minería/Servicios,2020-04-30
3902,Minería/Servicios,2020-04-30
3903,Ganadería/Agro,2020-04-30
3904,Minería/Servicios,2020-04-30
3905,Independientes,2020-05-01
3906,Comercio Minorista,2020-05-01
3907,Independientes,2020-05-01
3908,Ganadería/Agro,2020-05-01
3909,Independientes,2020-05-01
3910,Comercio Minorista,2020-05-01
3911,Independientes,2020-05-01
3912,Ganadería/Agro,2020-05-01
3913,Minería/Servicios,2020-05-01
3914,Independientes,2020-05-01
3915,Ganadería/Agro,2020-05-01
3916,Ganadería/Agro,2020-05-01
3917,Comercio Minorista,2020-05-01
3918,Comercio Minorista,2020-05-01
3919,Independientes,2020-05-01
3920,Minería/Servicios,2020-05-01
3921,Ganadería/Agro,2020-05-01
3922,Independientes,2020-05-01
3923,Ganadería/Agro,2020-05-01
3924,Ganadería/Agro,2020-05-01
3925,Minería/Servicios,2020-05-01
3926,Minería/Servicios,2020-05-01
3927,Independientes,2020-05-01
3928,Minería/Servicios,2020-05-01
3929,Minería/Servicios,2020-05-02
3930,Independientes,2020-05-02
3931,Minería/Servicios,2020-05-02
3932,Comercio Minorista,2020-05-02
3933,Ganadería/Agro,2020-05-02
3934,Ganadería/Agro,2020-05-02
3935,Ganadería/Agro,2020-05-02
3936,Ganadería/Agro,2020-05-02
3937,Independientes,2020-05-02
3938,Ganadería/Agro,2020-05-02
3939,Ganadería/Agro,2020-05-02
3940,Ganadería/Agro,2020-05-02
3941,Ganadería/Agro,2020-05-02
3942,Comercio Minorista,2020-05-02
3943,Ganadería/Agro,2020-05-02
3944,Comercio Minorista,2020-05-02
3945,Independientes,2020-05-02
3946,Minería/Servicios,2020-05-02
3947,Ganadería/Agro,2020-05-02
3948,Minería/Servicios,2020-05-02
3949,Minería/Servicios,2020-05-02
3950,Independientes,2020-05-02
3951,Minería/Servicios,2020-05-02
3952,Comercio Minorista,2020-05-02
3953,Minería/Servicios,2020-05-03
3954,Minería/Servicios,2020-05-03
3955,Minería/Servicios,2020-05-03
3956,Ganadería/Agro,2020-05-03
3957,Ganadería/Agro,2020-05-03
3958,Comercio Minorista,2020-05-03
3959,Comercio Minorista,2020-05-03
3960,Ganadería/Agro,2020-05-03
3961,Comercio Minorista,2020-05-03
3962,Ganadería/Agro,2020-05-03
3963,Independientes,2020-05-03
3964,Minería/Servicios,2020-05-03
3965,Minería/Servicios,2020-05-03
3966,Comercio Minorista,2020-05-03
3967,Ganadería/Agro,2020-05-03
3968,Ganadería/Agro,2020-05-03
3969,Comercio Minorista,2020-05-03
3970,Ganadería/Agro,2020-05-03
3971,Independientes,2020-05-03
3972,Minería/Servicios,2020-05-03
3973,Comercio Minorista,2020-05-03
3974,Comercio Minorista,2020-05-03
3975,Ganadería/Agro,2020-05-03
3976,Comercio Minorista,2020-05-03
3977,Independientes,2020-05-04
3978,Ganadería/Agro,2020-05-04
3979,Ganadería/Agro,2020-05-04
3980,Ganadería/Agro,2020-05-04
3981,Ganadería/Agro,2020-05-04
3982,Independientes,2020-05-04
3983,Ganadería/Agro,2020-05-04
3984,Comercio Minorista,2020-05-04
3985,Independientes,2020-05-04
3986,Minería/Servicios,2020-05-04
3987,Minería/Servicios,2020-05-04
3988,Comercio Minorista,2020-05-04
3989,Comercio Minorista,2020-05-04
3990,Independientes,2020-05-04
3991,Minería/Servicios,2020-05-04
3992,Minería/Servicios,2020-05-04
3993,Minería/Servicios,2020-05-04
3994,Minería/Servicios,2020-05-04
3995,Minería/Servicios,2020-05-04
3996,Ganadería/Agro,2020-05-04
3997,Comercio Minorista,2020-05-04
3998,Ganadería/Agro,2020-05-04
3999,Minería/Servicios,2020-05-04
4000,Independientes,2020-05-04
4001,Independientes,2020-05-05
4002,Minería/Servicios,2020-05-05
4003,Minería/Servicios,2020-05-05
4004,Independientes,2020-05-05
4005,Ganadería/Agro,2020-05-05
4006,Ganadería/Agro,2020-05-05
4007,Minería/Servicios,2020-05-05
4008,Ganadería/Agro,2020-05-05
4009,Independientes,2020-05-05
4010,Ganadería/Agro,2020-05-05
4011,Minería/Servicios,2020-05-05
4012,Independientes,2020-05-05
4013,Ganadería/Agro,2020-05-05
4014,Comercio Minorista,2020-05-05
4015,Independientes,2020-05-05
4016,Independientes,2020-05-05
4017,Comercio Minorista,2020-05-05
4018,Comercio Minorista,2020-05-05
4019,Independientes,2020-05-05
4020,Comercio Minorista,2020-05-05
4021,Minería/Servicios,2020-05-05
4022,Minería/Servicios,2020-05-05
4023,Minería/Servicios,2020-05-05
4024,Independientes,2020-05-05
4025,Comercio Minorista,2020-05-06
4026,Comercio Minorista,2020-05-06
4027,Ganadería/Agro,2020-05-06
4028,Ganadería/Agro,2020-05-06
4029,Comercio Minorista,2020-05-06
4030,Comercio Minorista,2020-05-06
4031,Comercio Minorista,2020-05-06
4032,Independientes,2020-05-06
4033,Comercio Minorista,2020-05-06
4034,Ganadería/Agro,2020-05-06
4035,Independientes,2020-05-06
4036,Comercio Minorista,2020-05-06
4037,Ganadería/Agro,2020-05-06
4038,Independientes,2020-05-06
4039,Comercio Minorista,2020-05-06
4040,Comercio Minorista,2020-05-06
4041,Comercio Minorista,2020-05-06
4042,Independientes,2020-05-06
4043,Ganadería/Agro,2020-05-06
4044,Ganadería/Agro,2020-05-06
4045,Minería/Servicios,2020-05-06
4046,Comercio Minorista,2020-05-06
4047,Minería/Servicios,2020-05-06
4048,Minería/Servicios,2020-05-06
4049,Ganadería/Agro,2020-05-07
4050,Independientes,2020-05-07
4051,Independientes,2020-05-07
4052,Ganadería/Agro,2020-05-07
4053,Independientes,2020-05-07
4054,Minería/Servicios,2020-05-07
4055,Comercio Minorista,2020-05-07
4056,Ganadería/Agro,2020-05-07
4057,Comercio Minorista,2020-05-07
4058,Independientes,2020-05-07
4059,Comercio Minorista,2020-05-07
4060,Independientes,2020-05-07
4061,Independientes,2020-05-07
4062,Minería/Servicios,2020-05-07
4063,Independientes,2020-05-07
4064,Minería/Servicios,2020-05-07
4065,Minería/Servicios,2020-05-07
4066,Minería/Servicios,2020-05-07
4067,Ganadería/Agro,2020-05-07
4068,Ganadería/Agro,2020-05-07
4069,Independientes,2020-05-07
4070,Minería/Servicios,2020-05-07
4071,Ganadería/Agro,2020-05-07
4072,Minería/Servicios,2020-05-07
4073,Comercio Minorista,2020-05-08
4074,Comercio Minorista,2020-05-08
4075,Comercio Minorista,2020-05-08
4076,Independientes,2020-05-08
4077,Minería/Servicios,2020-05-08
4078,Comercio Minorista,2020-05-08
4079,Ganadería/Agro,2020-05-08
4080,Comercio Minorista,2020-05-08
4081,Comercio Minorista,2020-05-08
4082,Comercio Minorista,2020-05-08
4083,Independientes,2020-05-08
4084,Ganadería/Agro,2020-05-08
4085,Minería/Servicios,2020-05-08
4086,Ganadería/Agro,2020-05-08
4087,Minería/Servicios,2020-05-08
4088,Independientes,2020-05-08
4089,Independientes,2020-05-08
4090,Independientes,2020-05-08
4091,Independientes,2020-05-08
4092,Minería/Servicios,2020-05-08
4093,Comercio Minorista,2020-05-08
4094,Minería/Servicios,2020-05-08
4095,Ganadería/Agro,2020-05-08
4096,Independientes,2020-05-08
4097,Independientes,2020-05-09
4098,Ganadería/Agro,2020-05-09
4099,Minería/Servicios,2020-05-09
4100,Comercio Minorista,2020-05-09
4101,Comercio Minorista,2020-05-09
4102,Ganadería/Agro,2020-05-09
4103,Comercio Minorista,2020-05-09
4104,Minería/Servicios,2020-05-09
4105,Minería/Servicios,2020-05-09
4106,Ganadería/Agro,2020-05-09
4107,Minería/Servicios,2020-05-09
4108,Independientes,2020-05-09
4109,Ganadería/Agro,2020-05-09
4110,Minería/Servicios,2020-05-09
4111,Ganadería/Agro,2020-05-09
4112,Comercio Minorista,2020-05-09
4113,Minería/Servicios,2020-05-09
4114,Independientes,2020-05-09
4115,Minería/Servicios,2020-05-09
4116,Ganadería/Agro,2020-05-09
4117,Ganadería/Agro,2020-05-09
4118,Minería/Servicios,2020-05-09
4119,Independientes,2020-05-09
4120,Independientes,2020-05-09
4121,Independientes,2020-05-10
4122,Ganadería/Agro,2020-05-10
4123,Minería/Servicios,2020-05-10
4124,Comercio Minorista,2020-05-10
4125,Ganadería/Agro,2020-05-10
4126,Independientes,2020-05-10
4127,Minería/Servicios,2020-05-10
4128,Independientes,2020-05-10
4129,Comercio Minorista,2020-05-10
4130,Independientes,2020-05-10
4131,Independientes,2020-05-10
4132,Comercio Minorista,2020-05-10
4133,Minería/Servicios,2020-05-10
4134,Ganadería/Agro,2020-05-10
4135,Minería/Servicios,2020-05-10
4136,Comercio Minorista,2020-05-10
4137,Independientes,2020-05-10
4138,Minería/Servicios,2020-05-10
4139,Ganadería/Agro,2020-05-10
4140,Comercio Minorista,2020-05-10
4141,Minería/Servicios,2020-05-10
4142,Ganadería/Agro,2020-05-10
4143,Comercio Minorista,2020-05-10
4144,Ganadería/Agro,2020-05-10
4145,Comercio Minorista,2020-05-11
4146,Independientes,2020-05-11
4147,Minería/Servicios,2020-05-11
4148,Ganadería/Agro,2020-05-11
4149,Comercio Minorista,2020-05-11
4150,Ganadería/Agro,2020-05-11
4151,Ganadería/Agro,2020-05-11
4152,Minería/Servicios,2020-05-11
4153,Independientes,2020-05-11
4154,Ganadería/Agro,2020-05-11
4155,Comercio Minorista,2020-05-11
4156,Comercio Minorista,2020-05-11
4157,Independientes,2020-05-11
4158,Comercio Minorista,2020-05-11
4159,Independientes,2020-05-11
4160,Comercio Minorista,2020-05-11
4161,Minería/Servicios,2020-05-11
4162,Ganadería/Agro,2020-05-11
4163,Minería/Servicios,2020-05-11
4164,Ganadería/Agro,2020-05-11
4165,Ganadería/Agro,2020-05-11
4166,Ganadería/Agro,2020-05-11
4167,Minería/Servicios,2020-05-11
4168,Ganadería/Agro,2020-05-11
4169,Minería/Servicios,2020-05-12
4170,Independientes,2020-05-12
4171,Comercio Minorista,2020-05-12
4172,Comercio Minorista,2020-05-12
4173,Ganadería/Agro,2020-05-12
4174,Minería/Servicios,2020-05-12
4175,Comercio Minorista,2020-05-12
4176,Minería/Servicios,2020-05-12
4177,Minería/Servicios,2020-05-12
4178,Ganadería/Agro,2020-05-12
4179,Comercio Minorista,2020-05-12
4180,Ganadería/Agro,2020-05-12
4181,Ganadería/Agro,2020-05-12
4182,Comercio Minorista,2020-05-12
4183,Comercio Minorista,2020-05-12
4184,Independientes,2020-05-12
4185,Independientes,2020-05-12
4186,Minería/Servicios,2020-05-12
4187,Comercio Minorista,2020-05-12
4188,Independientes,2020-05-12
4189,Minería/Servicios,2020-05-12
4190,Minería/Servicios,2020-05-12
4191,Minería/Servicios,2020-05-12
4192,Independientes,2020-05-12
4193,Comercio Minorista,2020-05-13
4194,Ganadería/Agro,2020-05-13
4195,Minería/Servicios,2020-05-13
4196,Independientes,2020-05-13
4197,Independientes,2020-05-13
4198,Ganadería/Agro,2020-05-13
4199,Ganadería/Agro,2020-05-13
4200,Independientes,2020-05-13
4201,Comercio Minorista,2020-05-13
4202,Ganadería/Agro,2020-05-13
4203,Independientes,2020-05-13
4204,Ganadería/Agro,2020-05-13
4205,Comercio Minorista,2020-05-13
4206,Minería/Servicios,2020-05-13
4207,Ganadería/Agro,2020-05-13
4208,Comercio Minorista,2020-05-13
4209,Independientes,2020-05-13
4210,Ganadería/Agro,2020-05-13
4211,Ganadería/Agro,2020-05-13
4212,Independientes,2020-05-13
4213,Minería/Servicios,2020-05-13
4214,Independientes,2020-05-13
4215,Ganadería/Agro,2020-05-13
4216,Independientes,2020-05-13
4217,Comercio Minorista,2020-05-14
4218,Independientes,2020-05-14
4219,Ganadería/Agro,2020-05-14
4220,Independientes,2020-05-14
4221,Minería/Servicios,2020-05-14
4222,Independientes,2020-05-14
4223,Minería/Servicios,2020-05-14
4224,Comercio Minorista,2020-05-14
4225,Minería/Servicios,2020-05-14
4226,Independientes,2020-05-14
4227,Ganadería/Agro,2020-05-14
4228,Minería/Servicios,2020-05-14
4229,Comercio Minorista,2020-05-14
4230,Minería/Servicios,2020-05-14
4231,Minería/Servicios,2020-05-14
4232,Minería/Servicios,2020-05-14
4233,Comercio Minorista,2020-05-14
4234,Independientes,2020-05-14
4235,Minería/Servicios,2020-05-14
4236,Minería/Servicios,2020-05-14
4237,Ganadería/Agro,2020-05-14
4238,Comercio Minorista,2020-05-14
4239,Minería/Servicios,2020-05-14
4240,Comercio Minorista,2020-05-14
4241,Minería/Servicios,2020-05-15
4242,Independientes,2020-05-15
4243,Independientes,2020-05-15
4244,Minería/Servicios,2020-05-15
4245,Independientes,2020-05-15
4246,Minería/Servicios,2020-05-15
4247,Independientes,2020-05-15
4248,Ganadería/Agro,2020-05-15
4249,Ganadería/Agro,2020-05-15
4250,Ganadería/Agro,2020-05-15
4251,Comercio Minorista,2020-05-15
4252,Comercio Minorista,2020-05-15
4253,Ganadería/Agro,2020-05-15
4254,Comercio Minorista,2020-05-15
4255,Independientes,2020-05-15
4256,Minería/Servicios,2020-05-15
4257,Minería/Servicios,2020-05-15
4258,Minería/Servicios,2020-05-15
4259,Ganadería/Agro,2020-05-15
4260,Comercio Minorista,2020-05-15
4261,Independientes,2020-05-15
4262,Independientes,2020-05-15
4263,Ganadería/Agro,2020-05-15
4264,Independientes,2020-05-15
4265,Independientes,2020-05-16
4266,Independientes,2020-05-16
4267,Independientes,2020-05-16
4268,Comercio Minorista,2020-05-16
4269,Independientes,2020-05-16
4270,Minería/Servicios,2020-05-16
4271,Ganadería/Agro,2020-05-16
4272,Comercio Minorista,2020-05-16
4273,Independientes,2020-05-16
4274,Comercio Minorista,2020-05-16
4275,Independientes,2020-05-16
4276,Minería/Servicios,2020-05-16
4277,Ganadería/Agro,2020-05-16
4278,Independientes,2020-05-16
4279,Independientes,2020-05-16
4280,Independientes,2020-05-16
4281,Independientes,2020-05-16
4282,Ganadería/Agro,2020-05-16
4283,Ganadería/Agro,2020-05-16
4284,Minería/Servicios,2020-05-16
4285,Ganadería/Agro,2020-05-16
4286,Independientes,2020-05-16
4287,Minería/Servicios,2020-05-16
4288,Minería/Servicios,2020-05-16
4289,Minería/Servicios,2020-05-17
4290,Independientes,2020-05-17
4291,Comercio Minorista,2020-05-17
4292,Independientes,2020-05-17
4293,Ganadería/Agro,2020-05-17
4294,Ganadería/Agro,2020-05-17
4295,Independientes,2020-05-17
4296,Independientes,2020-05-17
4297,Minería/Servicios,2020-05-17
4298,Independientes,2020-05-17
4299,Minería/Servicios,2020-05-17
4300,Ganadería/Agro,2020-05-17
4301,Minería/Servicios,2020-05-17
4302,Independientes,2020-05-17
4303,Ganadería/Agro,2020-05-17
4304,Comercio Minorista,2020-05-17
4305,Minería/Servicios,2020-05-17
4306,Ganadería/Agro,2020-05-17
4307,Minería/Servicios,2020-05-17
4308,Ganadería/Agro,2020-05-17
4309,Ganadería/Agro,2020-05-17
4310,Minería/Servicios,2020-05-17
4311,Comercio Minorista,2020-05-17
4312,Ganadería/Agro,2020-05-17
4313,Ganadería/Agro,2020-05-18
4314,Ganadería/Agro,2020-05-18
4315,Comercio Minorista,2020-05-18
4316,Comercio Minorista,2020-05-18
4317,Independientes,2020-05-18
4318,Minería/Servicios,2020-05-18
4319,Comercio Minorista,2020-05-18
4320,Minería/Servicios,2020-05-18
4321,Independientes,2020-05-18
4322,Minería/Servicios,2020-05-18
4323,Comercio Minorista,2020-05-18
4324,Minería/Servicios,2020-05-18
4325,Comercio Minorista,2020-05-18
4326,Minería/Servicios,2020-05-18
4327,Comercio Minorista,2020-05-18
4328,Comercio Minorista,2020-05-18
4329,Minería/Servicios,2020-05-18
4330,Independientes,2020-05-18
4331,Ganadería/Agro,2020-05-18
4332,Independientes,2020-05-18
4333,Minería/Servicios,2020-05-18
4334,Independientes,2020-05-18
4335,Comercio Minorista,2020-05-18
4336,Ganadería/Agro,2020-05-18
4337,Minería/Servicios,2020-05-19
4338,Minería/Servicios,2020-05-19
4339,Minería/Servicios,2020-05-19
4340,Ganadería/Agro,2020-05-19
4341,Comercio Minorista,2020-05-19
4342,Minería/Servicios,2020-05-19
4343,Independientes,2020-05-19
4344,Minería/Servicios,2020-05-19
4345,Minería/Servicios,2020-05-19
4346,Minería/Servicios,2020-05-19
4347,Minería/Servicios,2020-05-19
4348,Comercio Minorista,2020-05-19
4349,Independientes,2020-05-19
4350,Comercio Minorista,2020-05-19
4351,Independientes,2020-05-19
4352,Minería/Servicios,2020-05-19
4353,Ganadería/Agro,2020-05-19
4354,Comercio Minorista,2020-05-19
4355,Ganadería/Agro,2020-05-19
4356,Comercio Minorista,2020-05-19
4357,Minería/Servicios,2020-05-19
4358,Comercio Minorista,2020-05-19
4359,Minería/Servicios,2020-05-19
4360,Comercio Minorista,2020-05-19
4361,Minería/Servicios,2020-05-20
4362,Minería/Servicios,2020-05-20
4363,Independientes,2020-05-20
4364,Minería/Servicios,2020-05-20
4365,Independientes,2020-05-20
4366,Minería/Servicios,2020-05-20
4367,Ganadería/Agro,2020-05-20
4368,Minería/Servicios,2020-05-20
4369,Ganadería/Agro,2020-05-20
4370,Ganadería/Agro,2020-05-20
4371,Minería/Servicios,2020-05-20
4372,Ganadería/Agro,2020-05-20
4373,Independientes,2020-05-20
4374,Comercio Minorista,2020-05-20
4375,Minería/Servicios,2020-05-20
4376,Ganadería/Agro,2020-05-20
4377,Minería/Servicios,2020-05-20
4378,Independientes,2020-05-20
4379,Minería/Servicios,2020-05-20
4380,Minería/Servicios,2020-05-20
4381,Ganadería/Agro,2020-05-20
4382,Independientes,2020-05-20
4383,Comercio Minorista,2020-05-20
4384,Comercio Minorista,2020-05-20
4385,Ganadería/Agro,2020-05-21
4386,Minería/Servicios,2020-05-21
4387,Ganadería/Agro,2020-05-21
4388,Ganadería/Agro,2020-05-21
4389,Ganadería/Agro,2020-05-21
4390,Minería/Servicios,2020-05-21
4391,Independientes,2020-05-21
4392,Ganadería/Agro,2020-05-21
4393,Minería/Servicios,2020-05-21
4394,Independientes,2020-05-21
4395,Ganadería/Agro,2020-05-21
4396,Comercio Minorista,2020-05-21
4397,Independientes,2020-05-21
4398,Ganadería/Agro,2020-05-21
4399,Independientes,2020-05-21
4400,Independientes,2020-05-21
4401,Independientes,2020-05-21
4402,Independientes,2020-05-21
4403,Independientes,2020-05-21
4404,Independientes,2020-05-21
4405,Ganadería/Agro,2020-05-21
4406,Comercio Minorista,2020-05-21
4407,Minería/Servicios,2020-05-21
4408,Independientes,2020-05-21
4409,Minería/Servicios,2020-05-22
4410,Ganadería/Agro,2020-05-22
4411,Independientes,2020-05-22
4412,Comercio Minorista,2020-05-22
4413,Minería/Servicios,2020-05-22
4414,Independientes,2020-05-22
4415,Ganadería/Agro,2020-05-22
4416,Comercio Minorista,2020-05-22
4417,Minería/Servicios,2020-05-22
4418,Minería/Servicios,2020-05-22
4419,Independientes,2020-05-22
4420,Comercio Minorista,2020-05-22
4421,Comercio Minorista,2020-05-22
4422,Comercio Minorista,2020-05-22
4423,Comercio Minorista,2020-05-22
4424,Ganadería/Agro,2020-05-22
4425,Comercio Minorista,2020-05-22
4426,Minería/Servicios,2020-05-22
4427,Minería/Servicios,2020-05-22
4428,Ganadería/Agro,2020-05-22
4429,Minería/Servicios,2020-05-22
4430,Minería/Servicios,2020-05-22
4431,Comercio Minorista,2020-05-22
4432,Minería/Servicios,2020-05-22
4433,Ganadería/Agro,2020-05-23
4434,Comercio Minorista,2020-05-23
4435,Independientes,2020-05-23
4436,Comercio Minorista,2020-05-23
4437,Ganadería/Agro,2020-05-23
4438,Comercio Minorista,2020-05-23
4439,Comercio Minorista,2020-05-23
